Kegiatan,Jadwal
Pengumuman Seleksi,19 Agustus s.d 2 September 2030
Pendaftaran Seleksi,20 Agustus s.d. 6 September 2030
Seleksi Administrasi,20 Agustus s.d. 13 September 2030
Pengumuman Hasil Seleksi Administrasi,14 s.d. 17 September 2030
Pelaksanaan SKD CPNS,16 Oktober s.d. 14 November 2030
Pengumuman Hasil SKD CPNS,17 s.d. 19 November 2030
Pelaksanaan SKB tahap I,20 November s.d 17 Desember 2024
Pelaksanaan SKB tahap II,9 s.d. 20 Desember 2024
Pengumuman Hasil Seleksi Akhir CPNS,5 s.d 12 Januari 2031
